MSSV,Ho,Ten,Diem
19301672,Helena,Ummersen,2.7
19301673,Chandra,Pillsbury,7.6
19301674,Elbertina,Rooney,7.6
19301675,Carmencita,Afton,7.5
19301676,Gerrie,Donell,2
19301677,Fanny,Liebermann,3.8
19301678,Lynde,Swigart,6.7
19301679,Dari,Fredi,10
19301680,Dyann,Edvard,3.5
19301681,Taffy,Jary,7
19301682,Elora,Laverne,2.9
19301683,Dagmar,Gombach,10
19301684,Shel,Thad,3.1
19301685,Rebeca,Kronfeld,7.6
19301686,Aigneis,Olnee,7.1
19301687,Courtnay,Florina,8.5
19301688,Dari,Baylor,4.2
19301689,Maridel,Chick,9.2
19301690,Lucy,Grimbly,5.3
19301691,Starla,Hermes,3.1
19301692,Imojean,Ardra,9.6
19301693,Berta,Xerxes,8.7
19301694,Sheelagh,Sadowski,1.3
19301695,Peri,Morgun,5.1
19301696,Dacia,Dahlia,9.2
19301697,Daryl,Jehu,9.6
19301698,Shaylyn,Winnick,5.8
19301699,Halette,Truc,6.1
19301700,Rosene,Florina,2.1
19301701,Roz,Cimbura,2.4
19301702,Max,Wittie,4.1
19301703,Lesly,Jobi,6.5
19301704,Petronia,Atcliffe,9.8
19301705,Maye,Lattie,9.3
19301706,Trudie,Darian,8.6
19301707,Joelly,Daveta,5.1
19301708,Vanessa,Gower,6.3
19301709,Catrina,Joni,3.4
19301710,Joelly,Alice,3.6
19301711,Kamilah,Bandeen,6.2
19301712,Caressa,Jeanne,8.1
19301713,Angela,Belanger,3.4
19301714,Fred,Croix,6.2
19301715,Annecorinne,Lewes,3.5
19301716,Brietta,Louanna,8.1
19301717,Willetta,Parsaye,5
19301718,Laurene,Alarise,3
19301719,Merle,Alexandr,3.4
19301720,Siana,Gaulin,3.1
19301721,Sindee,Marsden,7.8
19301722,Emma,Jotham,9.5
19301723,Fred,Melony,8.5
19301724,Jaclyn,Earlie,4.5
19301725,Jobi,Ogren,9.5
19301726,Sonni,Meter,5.7
19301727,Betta,Rillings,6.7
19301728,Helsa,Lia,9.7
19301729,Cam,Gombach,4.8
19301730,Althea,Judye,2.9
19301731,Jan,Lia,7.2
19301732,Ricky,Magdalen,4.2
19301733,Caryl,Plato,7.2
19301734,Shel,Alwin,9.3
19301735,Ottilie,McCutcheon,4.5
19301736,Lorenza,Giule,6.8
19301737,Minda,Christal,2.2
19301738,Gratia,Junie,8.2
19301739,Stephanie,Codding,3.2
19301740,Lauryn,Merell,9.9
19301741,Tilly,Chaing,5.3
19301742,Codie,Tannie,9.3
19301743,Sherrie,Yerkovich,9.2
19301744,Petronia,Chinua,7.2
19301745,Stevana,Herrera,9.3
19301746,Ilse,McClimans,2.1
19301747,Micheline,Teryn,9.8
19301748,Netty,Rooney,6.5
19301749,Kathi,Munn,9.5
19301750,Sophia,Natica,1.5
19301751,Jenilee,Weinreb,9.9
19301752,Amii,Garlinda,9.1
19301753,Tamqrah,Lilas,9.6
19301754,Jaclyn,Podvin,8.9
19301755,Kirstin,Parette,9.3
19301756,Rosaline,Mendez,5.9
19301757,Kathy,Cottle,9.2
19301758,Aryn,Alfons,5.4
19301759,Kylynn,Kevon,9.6
19301760,Atlanta,Demitria,7.6
19301761,Sonni,Dunkin,4.7
19301762,Libbie,Niccolo,7
19301763,Lynde,Pacorro,9.1
19301764,Maurene,Dorine,5
19301765,Goldie,Romelda,8.9
19301766,Demetris,Eliathas,1.8
19301767,Nyssa,Claudine,4.5
19301768,Kelly,Fabiola,5.4
19301769,Kimmy,Brodench,4.3
19301770,Raf,Sothena,3.7
19301771,Kalina,Pip,2.9
19301772,Marline,Toni,9.7
19301773,Genovera,Burnside,4.6
19301774,Anthia,Wildermuth,3.8
19301775,Sissy,Ajay,4.7
19301776,Maridel,Cristi,4.9
19301777,Lexine,Katrine,5.1
19301778,Eadie,Ferrell,6.7
19301779,Judy,Schroth,9.3
19301780,Ida,Soneson,2.2
19301781,Lucille,Persse,10
19301782,Adore,Chick,3
19301783,Genevra,Joachim,8
19301784,Lonnie,Denis,6.1
19301785,Ann-Marie,Kaja,5.2
19301786,Karlee,Therine,7.7
19301787,Felice,Delp,8.3
19301788,Merrie,Ventre,8
19301789,Valera,Kevon,1
19301790,Jordan,Ajay,4.8
19301791,Dolli,Celestine,7.6
19301792,Vivia,Thornburg,2.3
19301793,Oona,Wenda,3.9
19301794,Ivett,Anton,5.9
19301795,Rivalee,Presber,1.5
19301796,Suzette,Ellord,1.1
19301797,Shaylyn,Clie,5.9
19301798,Paulita,Calhoun,3.4
19301799,Alyssa,Vittoria,9.1
19301800,Danika,Pacorro,8.2
19301801,Vonny,Sophronia,3.8
19301802,Margalo,Buckler,6.6
19301803,Carly,Artie,9.6
19301804,Nariko,Dannye,9.2
19301805,Stevana,Grobe,7.1
19301806,Elena,Pelagias,4.5
19301807,Brena,Cadmar,4.4
19301808,Theodora,Sibyls,1.5
19301809,Dotty,Schenck,9.9
19301810,Elfreda,Argus,7.3
19301811,Annora,Lewes,9
19301812,Ronna,Tomasina,4.9
19301813,Carolina,McGrody,6.2
19301814,Deane,Karna,9.1
19301815,Claresta,Nedrud,7.3
19301816,Johna,Buttaro,1.6
19301817,Willetta,Kimmie,9.2
19301818,Jobi,Sekofski,7.7
19301819,Fayre,Toni,8.4
19301820,Karlee,Ummersen,8.3
19301821,Ilse,Niles,1.2
19301822,Dari,Germann,5.6
19301823,Lyssa,Henebry,5.6
19301824,Aili,Deegan,4.8
19301825,Joleen,Malvino,10
19301826,Lita,Dorine,4.8
19301827,Jillayne,Weitman,1.6
19301828,Darci,Seessel,5.3
19301829,Elbertina,Ietta,8.3
19301830,Judy,Harriman,1
19301831,Rosabelle,Cookie,8.7
19301832,Jordan,Niles,4.5
19301833,Bee,Pascia,2.7
19301834,Karolina,Parette,3.3
19301835,Wendi,Honoria,7
19301836,Emma,Mehalek,5.6
19301837,Kathi,Wilona,2.9
19301838,Marnia,Shama,3.3
19301839,Minda,Urania,6.1
19301840,Demetris,Hubert,7.2
19301841,Danny,Jethro,3.6
19301842,Augustine,Grosz,8.4
19301843,Robinia,Alejoa,8.2
19301844,Hildegaard,Sadowski,7.5
19301845,Janenna,Madaih,1.1
19301846,Angelique,Redmond,7.6
19301847,Rochette,Kinnard,2.1
19301848,Britte,Fiann,6.8
19301849,Tiffie,Connelly,7.5
19301850,Bernardine,Plato,1.5
19301851,Maryellen,Stover,6.8
19301852,Gui,Cutlerr,9
19301853,Elfreda,Turne,2
19301854,Rosabelle,Stover,3.9
19301855,Dorene,Cookie,8.9
19301856,Marline,Carri,1.9
19301857,Betta,Corilla,3.1
19301858,Farrah,Mich,4.1
19301859,Felice,Hilbert,6.9
19301860,Bobbi,Dyche,4.2
19301861,Cherilyn,Bonilla,8.6
19301862,Vonny,Latini,5.6
19301863,Chere,Kathie,2.2
19301864,Annaliese,Rona,7.4
19301865,Damaris,Sundin,7.8
19301866,Rhoda,Fadiman,4.2
19301867,Neila,Lilas,2
19301868,Sandie,Deny,7
19301869,Cristine,Howlyn,3
19301870,Chloris,Artie,7.5
19301871,Quintina,Loeb,5.2
19301872,Kamilah,Dituri,3.7
19301873,Agathe,Secrest,7.2
19301874,Dorice,Trace,5.1
19301875,Leontine,Codding,4
19301876,Rosanne,Blisse,9.4
19301877,Marika,Markman,6.5
19301878,Fayre,Emerson,6
19301879,Kalina,Grimbly,1.1
19301880,Neila,Concha,9.9
19301881,Rosaline,Carvey,9.8
19301882,Abbie,Wu,5.8
19301883,Adelle,Mullane,7.1
19301884,Alameda,Ammann,9.1
19301885,Susette,Milson,9.1
19301886,Alleen,Colyer,7.8
19301887,Cyndie,Dreda,6
19301888,Philis,Anyah,4.1
19301889,Elena,Schwejda,8.1
19301890,Vonny,Harday,9.5
19301891,Meriel,Burkle,7.8
19301892,Corry,Shields,5.6
19301893,Georgetta,Deny,7.2
19301894,Alejandra,Delp,2.4
19301895,Fawne,Bach,9.9
19301896,Georgetta,Wareing,10
19301897,Paulita,Myrilla,6.7
19301898,Mariann,Ietta,8.1
19301899,Teddie,MacIntosh,4.1
19301900,Christal,Cottle,7
19301901,Jaime,Adrienne,9.9
19301902,Vonny,Primalia,4.4
19301903,Lucille,Jaylene,6.4
19301904,Tierney,Tacye,5.4
19301905,Ulrike,Ilka,5.7
19301906,Gertrud,Ethban,9.3
19301907,Emylee,Danby,5.2
19301908,Dawn,Lea,6.4
19301909,Jere,Amasa,9.8
19301910,Arlena,Sisile,3.1
19301911,Heida,Bendick,7.9
19301912,Shirlee,Erlandson,9.8
19301913,Violet,Aaberg,4.7
19301914,Alyda,Freddi,3
19301915,Moyna,Jary,9.7
19301916,Ivett,Erlandson,5.6
19301917,Aurelie,Firmin,3
19301918,Livvyy,Callista,2.5
19301919,Nadine,Prouty,5.1
19301920,Ebonee,Goddard,1.4
19301921,Kaja,Minetta,4.9
19301922,Wynne,Faust,1.8
19301923,Vita,Federica,4.7
19301924,Merci,Eugenia,9.4
19301925,Daune,Belanger,2.9
19301926,Drucie,Lewes,7.6
19301927,Doro,Chaing,6.1
19301928,Roseline,Ilka,8.1
19301929,Aubrie,Lissi,4.3
19301930,Mureil,Naor,11
19301931,Cacilie,Corrine,1
19301932,Nonnah,Mallon,9.2
19301933,Winifred,Grosz,8.1
19301934,Nannie,Lilas,9.2
19301935,Mary,Mata,4.3
19301936,Mellicent,Yam,9.1
19301937,Misha,Trey,6.4
19301938,Celisse,Bivins,1.9
19301939,Ilse,Dorcy,7.6
19301940,Edith,Shirberg,8.1
19301941,Elmira,Olin,5.4
19301942,Daune,Keelia,6.5
19301943,Riannon,Maryanne,9.8
19301944,Carmencita,Keily,8.9
19301945,Rebeca,Haerr,4.8
19301946,Nataline,Tayib,6.1
19301947,Sashenka,Jaylene,6.7
19301948,Zaria,Bryna,6
19301949,Carmencita,Viddah,9.6
19301950,Claresta,Therine,3.1
19301951,Eve,Madox,5.4
19301952,Georgetta,Kinnard,8.4
19301953,Daphne,Alva,8.9
19301954,Ermengarde,Kamaria,2.8
19301955,Merry,Pascia,3.6
19301956,Roz,Arne,8
19301957,Madeleine,Torray,3.7
19301958,Georgina,Burnside,6
19301959,Margarette,Randene,3.4
19301960,Charlena,Tatianas,5.5
19301961,Merry,Kylander,3.5
19301962,Rayna,Jotham,9.4
19301963,Kaia,Rozanna,5.2
19301964,Sharlene,Lymann,1.3
19301965,Ekaterina,Bluh,2.5
19301966,Eadie,Federica,2.6
19301967,Nessie,Concha,3.8
19301968,Chastity,Poppy,6.6
19301969,Caryl,Vanni,6.8
19301970,Tina,Hathaway,3.1
19301971,Therine,Uird,4.3
19301972,Kerrin,Jillane,7.7
19301973,Elora,Truc,2.4
19301974,Agathe,Melleta,4.8
19301975,Dolli,Clarissa,3.1
19301976,Orelia,Odysseus,4.4
19301977,Lonnie,Artie,2.5
19301978,Violet,Yusuk,1.5
19301979,Malina,Redmond,6.8
19301980,Jasmina,Erminia,4.7
19301981,Viki,August,6.1
19301982,Orsola,Kirbee,9.9
19301983,Meg,Rozanna,6.2
19301984,Amelia,Ivens,8.8
19301985,Cecile,Anselmi,9.6
19301986,Isa,Dosia,10
19301987,Halette,Tyson,6.9
19301988,Rhea,Colp,4.6
19301989,Alisha,Pierette,3.7
19301990,Wendi,Timon,8.6
19301991,Hollie,Stilwell,1.7
19301992,Leeanne,Kendrick,2
19301993,Mariann,Lindemann,1.5
19301994,Jasmina,Niles,3
19301995,Viki,Rebecka,1.8
19301996,Imojean,Lea,2.2
19301997,Fanchon,Hutchison,2.5
19301998,Violet,Cath,4.2
19301999,Sherrie,Braun,7.3
19302000,Therine,Tatianas,6.9
19302001,Letizia,Chabot,5.3
19302002,Dania,Corrine,9.5
19302003,Demetris,Schonfeld,1.2
19302004,Carmela,Lubin,9
19302005,Gerianna,Voletta,3.4
19302006,Lila,Sallyann,1.2
19302007,Elena,Ietta,9
19302008,Dede,Lenny,5.7
19302009,Genovera,Percy,9.8
19302010,Melodie,Othilia,2.2
19302011,Gwenneth,Bivins,4.1
19302012,Ana,Malina,3.7
19302013,Concettina,Boycey,10
19302014,Margarette,Stephie,8.9
19302015,Chandra,Wu,2
19302016,Annecorinne,Erb,9.2
19302017,Perry,Cleavland,1.5
19302018,Layla,Fancie,9.4
19302019,Tarra,Jotham,5.3
19302020,Brietta,Melleta,7.1
19302021,Dorothy,Phi,8
19302022,Mureil,Agle,9.6
19302023,Orsola,Dannye,6.1
19302024,Abbie,Rustice,1.9
19302025,Chastity,Atcliffe,3.3
19302026,Anallese,Eugenia,6.2
19302027,Millie,Nahum,5.5
19302028,Amii,My,4
19302029,Jere,Bergman,3.6
19302030,Lulita,Elisha,3
19302031,Frieda,Goth,9.4
19302032,Alex,Schlosser,6.3
19302033,Brynna,Ophelia,3.6
19302034,Leontine,Ruvolo,4.4
19302035,Brianna,Anselmi,6.4
19302036,Joy,Meter,3.3
19302037,Annecorinne,Koziara,2.5
19302038,Merci,Karylin,9.3
19302039,Siana,Dielu,6.9
19302040,Brandise,Ferino,1.5
19302041,Marinna,Shields,3.4
19302042,Devina,Giule,3.8
19302043,Leia,Jorgan,6.7
19302044,Miquela,Stefa,6.5
19302045,Atlanta,Faso,7.2
19302046,Jackie,Bow,6.3
19302047,Mignon,Deegan,7.6
19302048,Shirlee,O'Neill,6.7
19302049,Kaja,Pulsifer,5.4
19302050,Dianemarie,Israeli,9.1
19302051,Jinny,Angelis,5.3
19302052,Sheelagh,Vittoria,9.4
19302053,Tori,Thad,1
19302054,Tamqrah,Yorick,9.7
19302055,Amalie,Ophelia,4.7
19302056,Tami,Daveta,6.6
19302057,Max,Peonir,6
19302058,Celestyna,McNully,2.1
19302059,Shauna,Robertson,8
19302060,Gusty,Sothena,4.9
19302061,Brynna,Corrine,8.1
19302062,Adore,Jorgan,3.4
19302063,Di,Blake,1.1
19302064,Lelah,Pauly,1
19302065,Konstance,Presber,5.7
19302066,Tera,Seagraves,6.8
19302067,Kenna,Kat,7.1
19302068,Lauryn,Gusella,6.1
19302069,Fawne,Si,2.1
19302070,Sallie,Greyson,4.2
19302071,Veda,Old,8.7
19302072,Renie,Ophelia,4.1
19302073,Allis,Isidore,5.5
19302074,Karolina,Zenas,3.2
19302075,Rivalee,Sacken,6
19302076,Lynea,Nunci,2.2
19302077,Florie,Podvin,8.5
19302078,Consuela,Maiah,3.5
19302079,Hope,Solitta,5
19302080,Caryl,Ruvolo,5.8
19302081,Myrtice,Jenness,4.1
19302082,Nonnah,Stuart,4.7
19302083,Cyndie,Selway,1.4
19302084,Janey,Kronfeld,7.3
19302085,Lyssa,Talia,5.8
19302086,Jacenta,Flyn,6.7
19302087,Nessie,Soneson,6
19302088,Shel,Zitvaa,3.3
19302089,Vanessa,Soneson,2.3
19302090,Hayley,Alisia,3.4
19302091,Rochette,Natica,9.3
19302092,Teddie,Ramona,7.9
19302093,Valera,Grimbly,2
19302094,Cassondra,Chapland,9.1
19302095,Regina,Carlson,1.8
19302096,Ernesta,Amadas,9.6
19302097,Ardenia,Craggie,4.9
19302098,Laure,Lattie,1.3
19302099,Maisey,Marisa,5.4
19302100,Ernesta,Gladstone,9.8
19302101,Doro,Melan,4.5
19302102,Bettine,Lail,7.9
19302103,Ezmeralda,Franza,9.9
19302104,Blinni,Infield,8.7
19302105,Albertina,Gibbeon,9.6
19302106,Blake,Fiester,5.6
19302107,Shel,Tristram,7.5
19302108,Margalo,Presber,7.1
19302109,Amalie,Lunsford,2.9
19302110,Aurelie,Hazlett,9.8
19302111,Rosene,Behre,1.1
19302112,Wileen,Markman,4.8
19302113,Concettina,Kiyoshi,8.1
19302114,Alleen,Riva,5.8
19302115,Abbie,Ezar,9.3
19302116,Lynnea,Eliathas,3.9
19302117,Melodie,Chrystel,6.8
19302118,Jaime,Kosey,8.9
19302119,Ulrike,Anastatius,3
19302120,Wynne,Selway,4.7
19302121,Tina,Guthrie,8.2
19302122,Micheline,Septima,3.1
19302123,Stephanie,Seumas,8.5
19302124,Gabriellia,Cavan,7.2
19302125,Orelia,Jagir,4.8
19302126,Deirdre,Nicoline,1.9
19302127,Perry,Sikorski,6.8
19302128,Mildrid,Alice,1.4
19302129,Konstance,Calhoun,7.3
19302130,Meriel,Berriman,9.6
19302131,Blinni,Toni,2.3
19302132,Rosabelle,Cutlerr,7.3
19302133,Carree,Sikorski,6.4
19302134,Cristine,Mehalek,4.1
19302135,Nita,Lareena,3.4
19302136,Frances,Neils,5.1
19302137,Vonny,Merell,9.9
19302138,Vivia,Harday,6.2
19302139,Romona,Hortensia,8
19302140,Gianina,Camden,4.1
19302141,Nollie,Dituri,4.6
19302142,Ana,Glovsky,4.5
19302143,Dorthy,Shirberg,3
19302144,Joane,Edmund,6.2
19302145,Damaris,Bennie,4.5
19302146,Sindee,Chem,6.3
19302147,Luci,Hollingsworth,2
19302148,Andree,Lareena,9.2
19302149,Ricky,Darian,6.7
19302150,Vevay,Meter,2.4
19302151,Sybille,Sprage,4.3
19302152,Maurene,Daegal,3.1
19302153,Sharai,Chinua,6.5
19302154,Beth,Riva,6.3
19302155,Joane,Christine,1.8
19302156,Lynea,Hathaway,3.3
19302157,Jemie,Karylin,5.9
19302158,Binny,Tatianas,8.9
19302159,Marleah,Terrence,5
19302160,Roberta,Telfer,9.2
19302161,Edee,Honoria,5.8
19302162,Vere,Bonucci,6.3
19302163,Agathe,Darbie,3.8
19302164,Bernie,Rosemary,8.5
19302165,Mady,Briney,6.1
19302166,Jacenta,Smitt,5.2
19302167,Nonnah,Capello,9.1
19302168,Lily,Delila,8.5
19302169,Yvonne,Primalia,9.1
19302170,Roseline,Lymann,1.5
19302171,Evita,Sisile,5
19302172,Kayla,Pascia,6.2
19302173,Marleah,Dorine,2.9
19302174,Celisse,Halsey,5.3
19302175,Philis,Sawtelle,5.1
19302176,Ada,Stav,8.1
19302177,Bobbi,Cleo,5.7
19302178,Tybie,Lanita,5.6
19302179,Ariela,Suzetta,2.9
19302180,Janis,Ietta,2
19302181,Ayn,Anselmi,5.9
19302182,Sophia,Emmaline,3.2
19302183,Teriann,Haerr,3.6
19302184,Lindie,Barney,9.5
19302185,Penelopa,Reidar,3.2
19302186,Mariann,Suk,9.7
19302187,Melanie,Byrne,2.4
19302188,Yvonne,Hermes,6.9
19302189,Nerta,Sandye,6.6
19302190,Ana,Secrest,7
19302191,Addia,Corrine,5.4
19302192,Keelia,Modie,6.8
19302193,Marti,Milde,1
19302194,Valli,Dyche,9.6
19302195,Isa,Artie,9.3
19302196,Kylynn,Calhoun,6.7
19302197,Neila,Publia,5.3
19302198,Concettina,Kunin,9.7
19302199,Ginnie,Hollingsworth,8.4
19302200,Annora,Bronk,6.7
19302201,Catharine,Earlie,3.6
19302202,Charlena,Allare,1.3
19302203,Tabbatha,Zrike,8.7
19302204,Hannis,Sawtelle,7.9
19302205,Dawn,Martsen,9.4
19302206,Jorry,Ax,8.8
19302207,Sashenka,Martguerita,1.9
19302208,Brena,Armanda,5.2
19302209,Janey,Sprage,6.2
19302210,Lonnie,Esmaria,5.1
19302211,Nikki,Blake,7.9
19302212,Beatriz,Pulsifer,9.9
19302213,Valeda,Beebe,8.9
19302214,Marika,Khorma,7.8
19302215,Shandie,Colbert,4.6
19302216,Carree,Carleen,9.4
19302217,Oona,Velick,3.4
19302218,Molli,Naor,1.1
19302219,Cathie,Honoria,9.2
19302220,Evaleen,Mike,4.4
19302221,Elena,Bakerman,6.9
19302222,Amii,Katrine,5.7
19302223,Helsa,Firmin,9.6
19302224,Estell,Dannye,2.9
19302225,Flo,Dowski,5.4
19302226,Mady,Randene,6.8
19302227,Netty,Carolin,3.6
19302228,Adriana,Bronk,4.8
19302229,Georgina,Reneta,3.5
19302230,Gusty,Lilas,2.8
19302231,Robinia,Gladstone,8.8
19302232,Penelopa,Dreda,10
19302233,Binny,Alrich,2.2
19302234,Gui,Torray,2.1
19302235,Leeanne,Schalles,3
19302236,Shel,Knowling,5.2
19302237,Corry,Tremayne,7.4
19302238,Nataline,Remmer,5.5
19302239,Olwen,Faust,4.7
19302240,Kate,Trinetta,5.4
19302241,Nelle,Lunsford,10
19302242,Beth,Nelsen,3.3
19302243,Regina,Skurnik,9.2
19302244,Janenna,Dominy,9.7
19302245,Shannah,Pettiford,4.3
19302246,Sindee,Mendez,5.9
19302247,Rori,Milde,8.4
19302248,Lulita,Blase,3.3
19302249,Atlanta,Cath,9.1
19302250,Leanna,Saunderson,2.3
19302251,Nannie,Byrne,9.1
19302252,Loree,My,4.1
19302253,Winny,Malanie,2.8
19302254,Keelia,Chapland,2.1
19302255,Merci,Wooster,4.1
19302256,Merle,Connelly,3.7
19302257,Corry,Oster,7.8
19302258,Hyacinthe,Tillford,4.5
19302259,Rivalee,Briney,2.4
19302260,Shell,Curren,9.6
19302261,Merrie,Mendez,5
19302262,Micheline,Weitman,2.2
19302263,Nessie,Berriman,3.8
19302264,Ottilie,Stelle,7.5
19302265,Larine,Linehan,10
19302266,Kerrin,Nester,2.2
19302267,Valera,Gunn,1.9
19302268,Donnie,Rosemary,7
19302269,Claudina,Eugenia,7.2
19302270,Oona,Lory,4.4
19302271,Tonia,Colbert,3.7
19302272,Dacia,Salchunas,1.7
19302273,Juliane,Harl,9.1
19302274,Stevana,Ethban,9.3
19302275,Sheelagh,Naashom,5.1
19302276,Dede,Lasley,6
19302277,Oralee,Kiersten,9.7
19302278,Ofilia,Ralfston,8.5
19302279,Wynne,Uird,4.1
19302280,Alisha,Celestine,8.6
19302281,Estell,Bettine,9.2
19302282,Shannah,Sophronia,9.4
19302283,Lesly,Jerold,1.4
19302284,Nanete,Melony,3.1
19302285,Zsa Zsa,Aida,2.9
19302286,Juliane,Richers,6.3
19302287,Marsiella,Guthrie,8.9
19302288,Aimil,Tomasina,5.7
19302289,Kaja,Roarke,9
19302290,Valli,Natalia,1.4
19302291,Vinita,Vittoria,8.7
19302292,Darci,Stoller,6.6
19302293,Cacilie,Bebe,1.5
19302294,Ana,Friede,9.9
19302295,Corene,Hubert,6.5
19302296,Kassey,Norrie,7
19302297,Celene,Corabella,1.2
19302298,Zsa Zsa,Korey,2.9
19302299,Lita,Lanita,8.6
19302300,Laurene,Bollay,7.7
19302301,Roz,Zuzana,6.8
19302302,Rozele,Ochs,4.1
19302303,Aeriela,Raul,3.1
19302304,Dominga,Deny,4.9
19302305,Elise,Malvino,4.7
19302306,Alyssa,Philoo,9.2
19302307,Basia,Maribeth,8
19302308,Courtnay,McClimans,1.2
19302309,Benita,Roscoe,6
19302310,Lucy,Ummersen,6.5
19302311,Estell,Egbert,9.5
19302312,Nerta,Pierette,9.2
19302313,Sallie,Guthrie,1.4
19302314,Almeta,Edee,5.8
19302315,Michaelina,Winnick,2.3
19302316,Amelia,Bettine,9.5
19302317,Wynne,Virgin,9.7
19302318,Shaylyn,Yoko,9.9
19302319,Joy,Turne,1.2
19302320,Lanae,Mata,1.3
19302321,Marika,Rodmann,3.2
19302322,Jennica,Camden,1.8
19302323,Tressa,Angelis,2.6
19302324,Clementine,Abernon,9.7
19302325,Agnese,Stilwell,4.8
19302326,Ariela,Bari,7.2
19302327,Althea,Hirsch,9.2
19302328,Alameda,Lanita,1.2
19302329,Susette,Freddi,7.1
19302330,Ricky,Magdalen,9.7
19302331,Hayley,Fitzsimmons,9.9
19302332,Malina,Lenny,6
19302333,Kelly,Magnolia,6.4
19302334,Julieta,Emmy,3.9
19302335,Tina,Glenden,2.4
19302336,Sean,Socha,8.2
19302337,Carlie,Noam,6.3
19302338,Morganica,Amadas,8.9
19302339,Starla,Couture,5.4
19302340,Constance,Maroney,4.2
19302341,Fred,Phyllis,3.5
19302342,Wendi,Genna,2.3
19302343,Mallory,Anis,9.3
19302344,Nannie,Uund,1.9
19302345,Edee,Hedve,9.4
19302346,Fanchon,Sadowski,8.4
19302347,Ana,Terencio,6.1
19302348,Annecorinne,Egbert,7.3
19302349,Maud,Kaja,9.1
19302350,Brooks,Lewes,3
19302351,Philis,Salvidor,3.2
19302352,Lory,Obed,1.9
19302353,Almeta,Margarete,2.7
19302354,Catrina,Mata,3.5
19302355,Mathilda,Pernick,9.8
19302356,Fina,Celestine,1.6
19302357,Roberta,Decato,9.8
19302358,Rayna,Germann,9.3
19302359,Collen,Maryanne,3
19302360,Evaleen,Jerald,8.9
19302361,Dulce,Chinua,6.4
19302362,Kerrin,Niccolo,9.7
19302363,Almeta,Docilla,4.8
19302364,Roslyn,Fulmer,1.4
19302365,Natka,Ries,4.9
19302366,Trudie,Stav,2.3
19302367,Judy,Travax,1
19302368,Correy,Eliathas,9.2
19302369,Aaren,Stover,3.7
19302370,Cyb,Jacobah,9.1
19302371,Danika,Tillford,5.4
19302372,Joane,Korey,7.9
19302373,Corina,Flyn,8.5
19302374,Dianemarie,Michella,1.7
19302375,Michaelina,Gemini,4.9
19302376,Ardys,Zrike,1.4
19302377,Pearline,Barbey,9.9
19302378,Kerrin,Bendick,9.6
19302379,Imojean,Koehler,9.6
19302380,Susan,Muriel,4.8
19302381,Letizia,Swanhildas,1.6
19302382,Starla,Elsinore,1.7
19302383,Adelle,Morgun,7.6
19302384,Charmaine,Prouty,6.7
19302385,Dulce,Chick,1.7
19302386,Kaja,Hanleigh,9
19302387,Aubrie,Colp,8.1
19302388,Angela,Leopold,1.3
19302389,Orsola,Craggie,6.6
19302390,Edee,O'Neill,7.4
19302391,Rhoda,Devlen,2.3
19302392,Gavrielle,Thomasina,1.2
19302393,Caryl,Wildermuth,3.9
19302394,Nadine,Palocz,2.6
19302395,Romona,Chesna,2.3
19302396,Frances,Demitria,9.5
19302397,Heida,Romelda,8.6
19302398,Lizzie,Larochelle,5.7
19302399,Leia,Leffen,3
19302400,Tiffie,Sheedy,8.5
19302401,Ottilie,Shelba,9.3
19302402,Rori,Sadowski,7.4
19302403,Esmeralda,Gaulin,4.9
19302404,Joeann,Grosz,1.5
19302405,Carly,Juliet,9.9
19302406,Jaime,Cohdwell,1.9
19302407,Jaclyn,Goerke,5.4
19302408,Valli,Dorcy,9.7
19302409,Helena,Rustice,9.2
19302410,Elsie,Gaspard,4.5
19302411,Lizzie,Ehrman,9.5
19302412,Bee,Annice,2.2
19302413,Correy,Lane,9.2
19302414,Catrina,Annice,8.8
19302415,Sharlene,Nadia,2.9
19302416,Konstance,Podvin,8.8
19302417,Dorene,Septima,9.4
19302418,Roberta,Ball,4.2
19302419,Rosaline,Toni,9.8
19302420,Fina,Lay,1.9
19302421,Valera,Miru,4
19302422,Jessy,Neils,9.3
19302423,Odessa,Means,2.4
19302424,Madelle,Goerke,8.6
19302425,Sarette,Medrek,7.8
19302426,Gabi,Papageno,4.9
19302427,Kary,Tremayne,8.5
19302428,Tressa,Meter,1.8
19302429,Valeda,Chapland,9.1
19302430,Gerianna,Cyrie,1.7
19302431,Evaleen,Alabaster,1.6
19302432,Amalie,Haerr,8.3
19302433,Alie,Markman,3
19302434,Florie,Posner,7.4
19302435,Alyda,Anastatius,2
19302436,Valera,Glovsky,5.4
19302437,Marsiella,Rebecka,5.5
19302438,Lizzie,Lea,5.7
19302439,Glenda,Hazlett,8.7
19302440,Hayley,Redmond,1.1
19302441,Joleen,Zola,9.3
19302442,Rivalee,Calhoun,3.7
19302443,Arlena,Sacken,2.3
19302444,Alyssa,Greenwald,2.9
19302445,Tomasina,Docilla,8.6
19302446,Dale,Baudin,2.3
19302447,Viviene,Grayce,9.7
19302448,Sybille,Percy,1.7
19302449,Penelopa,Sekofski,3.9
19302450,Madeleine,Ursulette,8
19302451,Cherrita,Shirberg,3.6
19302452,Caryl,Thad,3
19302453,Jsandye,Valoniah,3.4
19302454,Meghann,Jess,9.5
19302455,Sabina,Monaco,5.7
19302456,Tersina,Capello,7.7
19302457,Gusty,Jary,1
19302458,Annaliese,Schwejda,5.9
